"","max_PM2.5","max_O3","max_PM10","Longitude","Latitude","Elevation","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_INDUSTRIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN"
"1",4.75,0.027,11,-106.5852,35.1343,1591,0,0,0,0,0
"2",7.15,0.055,25,-120.680277,38.20185,310,1,0,0,1,0
"3",1.45,0.044,8,-105.303528,42.766972,1508,1,0,0,1,0
"4",7,0.058,20,-70.748017,43.075371,8,0,0,0,0,0
"5",12,0.017,15,-112.095767,33.503833,343,0,0,0,0,0
"6",5.4,0.049,17,-85.89804,38.06091,135,0,0,0,0,1
"7",11.5,0.041,24,-76.906249,35.81066,12,1,0,0,1,0
"8",7.9,0.045,20,-96.85535,46.933754,271,1,0,0,0,1
"9",4.3,0.047,12,-81.3625,28.596389,27,0,1,0,0,0
"10",6.55,0.071,25,-96.807299,44.348604,499,1,0,0,1,0
"11",19.7,0.018,19,-70.748017,43.075371,8,0,0,0,0,0
"12",13.7,0.051,20,-115.122953,36.191251,571,0,1,0,0,0
"13",5.2,0.05,53,-80.628611,28.053611,9,0,0,0,0,0
"14",5.3,0.048,18,-117.4924,33.99636,231,0,0,0,0,1
"15",3.6,0.028,9,-81.0525,29.206667,15,0,1,0,0,1
"16",14.2,0.04,41,-96.707208,42.751518,352,1,0,0,1,0
"17",10.7,0.032,18.5,-86.815,33.553056,180,0,1,0,0,0
"18",10.9,0.035,17,-72.902871,41.3014,2,0,1,0,0,0
"19",6.9,0.047,17,-96.700769,43.54792,449,0,1,0,0,0
"20",10.4,0.039,14,-96.807299,44.348604,499,1,0,0,1,0
"21",11,0.058,18,-70.748017,43.075371,8,0,0,0,0,0
"22",1.4,0.037,3,-118.130511,34.669739,742,0,1,0,0,0
"23",8.56666666666667,0.039,14,-119.746761,39.540917,1348,0,0,0,0,1
"24",7.7,0.051,19,-115.253333,36.106389,738,0,0,0,0,1
"25",8.7,0.055,18,-120.435611,34.942872,70,0,1,0,0,0
"26",3,0.046,9,-75.4325,40.611944,117,0,1,0,0,1
"27",5.2,0.048,16,-104.987625,39.751184,1593,0,1,0,0,0
"28",5.5,0.048,11,-91.179219,30.461981,19,0,1,0,0,0
